City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Hofn,IS,2022-04-01 17:34:15,64.2539,-15.2082,39.22,81,100,4.61
169,Cavalcante,BR,2022-04-01 17:38:07,-13.7975,-47.4583,86.76,37,4,7.4
170,Betioky,MG,2022-04-01 17:38:08,-23.7167,44.3833,76.55,54,16,5.1
171,Gold Coast,AU,2022-04-01 17:38:00,-28.0,153.4333,68.0,88,40,5.75
172,Ribeira Grande,PT,2022-04-01 17:38:11,38.5167,-28.7,61.2,82,75,20.71
173,Andra,RU,2022-04-01 17:38:13,62.5147,65.8878,10.92,98,97,2.62
174,Santa Isabel Do Rio Negro,BR,2022-04-01 17:38:13,-0.4139,-65.0192,92.95,43,17,5.57
175,Dauphin,CA,2022-04-01 17:33:32,51.1494,-100.0502,39.34,75,100,18.41
176,Mkushi,ZM,2022-04-01 17:34:17,-13.6202,29.3939,63.59,97,34,5.03
177,Temiscaming,CA,2022-04-01 17:38:17,46.7212,-79.0971,27.95,64,100,11.5
178,Hasaki,JP,2022-04-01 17:38:18,35.7333,140.8333,32.4,55,99,16.49
179,Canutama,BR,2022-04-01 17:38:19,-6.5339,-64.3831,80.42,91,75,4.41
180,Gadung,PH,2022-04-01 17:38:21,6.8025,124.02,79.27,80,77,4.07
181,Henties Bay,NA,2022-04-01 17:39:22,-22.116,14.2845,62.33,83,1,10.42
182,Poum,NC,2022-04-01 17:39:23,-20.2333,164.0167,80.62,82,100,5.79
183,Longyearbyen,SJ,2022-04-01 17:39:25,78.2186,15.6401,3.04,55,20,6.91
184,Camp Verde,US,2022-04-01 17:35:21,34.5636,-111.8543,72.27,27,28,1.72
185,Yatou,CN,2022-04-01 17:39:27,37.15,122.3833,36.19,40,1,4.23
186,Manoel Urbano,BR,2022-04-01 17:39:28,-8.8389,-69.2597,67.95,77,100,6.13
187,Ponta Do Sol,PT,2022-04-01 17:39:29,32.6667,-17.1,66.0,80,95,2.71
188,Kenai,US,2022-04-01 17:35:20,60.5544,-151.2583,39.02,73,0,18.41
189,Kudahuvadhoo,MV,2022-04-01 17:39:31,2.6708,72.8944,83.77,67,16,4.65
190,Puerto Madero,MX,2022-04-01 17:39:32,14.7208,-92.4215,91.6,52,20,0.0
191,Faanui,PF,2022-04-01 17:39:34,-16.4833,-151.75,81.73,72,100,5.99
192,Cherskiy,RU,2022-04-01 17:39:35,68.75,161.3,-29.54,100,95,3.18
193,Lithakia,GR,2022-04-01 17:39:36,37.7167,20.8333,60.17,82,40,5.75
194,Carnarvon,AU,2022-04-01 17:39:36,-24.8667,113.6333,75.27,94,100,9.22
195,Lafiagi,NG,2022-04-01 17:39:38,8.8667,5.4167,97.5,22,29,2.84
196,Coolum Beach,AU,2022-04-01 17:39:39,-26.5333,153.1,68.11,92,37,4.63
197,Sola,VU,2022-04-01 17:39:40,-13.8833,167.55,76.84,88,100,19.28
198,Saravena,CO,2022-04-01 17:39:41,6.9538,-71.8752,93.34,35,78,2.77
199,Provideniya,RU,2022-04-01 17:39:43,64.3833,-173.3,20.88,93,100,10.27
200,Khatanga,RU,2022-04-01 17:39:44,71.9667,102.5,0.99,97,99,5.73
201,Koutiala,ML,2022-04-01 17:39:45,12.3917,-5.4642,100.47,18,100,1.92
